개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
우리누리청소년문화센터 도서관,우리누리청소년문화센터,기타,"매월 2째주, 4째주 일요일",10:00,19:00,10:00,18:00,N,,,,,50,118,,,,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,창원시설공단,우리누리청소년문화센터,055-712-0320,www.cwsisul.or.kr,35.240104,128.590761,2020-12-02,B553892,창원시설공단
우리누리청소년문화센터 소공연장,우리누리청소년문화센터,기타,"매월 2째주, 4째주 일요일",09:00,22:00,09:00,22:00,Y,,70000,,,200,258,,,,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,창원시설공단,우리누리청소년문화센터,055-712-0315,www.cwsisul.or.kr,35.240104,128.590761,2020-12-02,B553892,창원시설공단
우리누리청소년문화센터 다목적실,우리누리청소년문화센터,다목적실,"매월 2째주, 4째주 일요일",09:00,22:00,09:00,22:00,Y,,"50,000",,,40,96,,,,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,창원시설공단,우리누리청소년문화센터,055-712-0315,www.cwsisul.or.kr,35.240104,128.590761,2020-12-02,B553892,창원시설공단
우리누리청소년문화센터 체육관,우리누리청소년문화센터,체육관,"매월 2째주, 4째주 일요일",09:00,22:00,09:00,20:00,Y,,50000,,,630,1.159.57,,,,경상남도 창원시 마산회원구 팔용로 128,경상남도 창원시 마산회원구 합성동 91-3,창원시설공단,우리누리청소년문화센터,055-712-0315,www.cwsisul.or.kr,35.240104,128.590761,2020-12-02,B553892,창원시설공단
늘푸른전당 공연장,늘푸른전당,기타,연중무휴,09:00,22:00,09:00,22:00,Y,,"80,000",2,40000,648,1037,"영상시설,피아노,음향, 조명,냉난방","방문,전화",http://www.cwsisul.or.kr/sub_sisul_sub.html?code=02_01_01_02&Radd=02_01_01_02,경상남도 창원시 의창구 두대로 97,경상남도 창원시 의창구 삼동동 293,창원시설공단,늘푸른전당,055-712-0377,www.cwsisul.or.kr,35.229894,128.653836,2020-12-02,B553892,창원시설공단
늘푸른전당 체육관,늘푸른전당,체육관,연중무휴,09:00,22:00,09:00,22:00,Y,4,3,2,20000,1000,842,냉난방,"방문,전화",http://www.cwsisul.or.kr/sub_sisul_sub.html?code=02_01_01_03&Radd=02_01_01_03,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,창원시설공단,늘푸른전당,055-712-0354,www.cwsisul.or.kr,35.229894,128.653836,2020-12-02,B553892,창원시설공단
늘푸른전당 수영장,늘푸른전당,기타,"매월 2째주, 4째주 일요일",06:00,20:00,06:00,18:00,Y,,3500,,,390,1287,사물함,"방문,전화,인터넷",http://www.cwsisul.or.kr/sub_sisul_sub.html?code=02_01_01_04&Radd=02_01_01_04,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,창원시설공단,늘푸른전당,055-712-0379,www.cwsisul.or.kr,35.229894,128.653836,2020-12-02,B553892,창원시설공단
늘푸른전당 헬스장,늘푸른전당,기타,"매월 2째주, 4째주 일요일",06:00,21:00,06:00,18:00,Y,,3000,,,226,226,사물함,"방문,전화,인터넷",http://www.cwsisul.or.kr/sub_sisul_sub.html?code=02_01_01_05&Radd=02_01_01_05,경상남도 창원시 의창구 두대로 98,경상남도 창원시 의창구 삼동동 250,창원시설공단,늘푸른전당,055-712-0380,www.cwsisul.or.kr,35.229894,128.653836,2020-12-02,B553892,창원시설공단
대화도서관 서로배움터,대화도서관,다목적실,월+법정공휴일,09:00,18:00,09:00,18:00,N,4,,,,20,,스크린+빔프로젝터+음향시설+책상+의자,방문+전화,,경기도 고양시 일산서구 일산로689,경기도 고양시 일산서구 대화동 2103,경기도 고양시청,대화도서관,031-8075-9123,https://www.goyanglib.or.kr/MJ/index.do,37.6810217556,126.7539404270,2025-03-31,3940000,경기도 고양시
대화도서관 디스커션룸,대화도서관,회의실,월+법정공휴일,09:00,18:00,09:00,18:00,N,4,,,,10,,스크린+빔프로젝터+책상+의자,방문+전화,,경기도 고양시 일산서구 일산로689,경기도 고양시 일산서구 대화동 2103,경기도 고양시청,대화도서관,031-8075-9123,https://www.goyanglib.or.kr/MJ/index.do,37.6810217556,126.7539404270,2025-03-31,3940000,경기도 고양시
덕이도서관 교양교실,덕이도서관,회의실,월+법정공휴일,09:00,18:00,09:00,18:00,N,4,,,,12,,책상+의자,방문+전화,,경기도 고양시 일산서구 하이파크로128,경기도 고양시 일산서구 덕이동 1533,경기도 고양시청,덕이도서관,031-8075-9316,https://www.goyanglib.or.kr/MN/index.do,37.702997,126.7545524212,2025-03-31,3940000,경기도 고양시
옥천국민체육센터_헬스장,옥천국민체육센터,기타,월+법정공휴일,06:00,21:00,06:00,17:00,Y,3,40000원,,,50,284,,방문,,충청북도 옥천군 옥천읍 동부로 39-1,,충청북도 옥천군,체육사업소,043-730-4975,www.oc.go.kr,36.306267,127.578011,2025-07-30,4430000,충청북도 옥천군
옥천생활체육관,옥천생활체육관,체육관,설 당일+추석 당일,06:00,22:00,06:00,22:00,N,,(개인)무료+(전용 사용 시) 사용료 부과,,,345,1654,,방문+전화,,충청북도 옥천군 옥천읍 문정1길 47,,충청북도 옥천군,체육사업소,043-730-4863,,36.304017,127.575573,2025-07-30,4430000,충청북도 옥천군
옥천읍테니스장,옥천읍테니스장,테니스장,연중무휴,09:00,18:00,09:00,18:00,N,,,,,40,2664,,방문+전화,,충청북도 옥천군 옥천읍 동부로 15,,충청북도 옥천군,체육사업소,043-730-4873,,36.306571,127.574624,2025-07-30,4430000,충청북도 옥천군
옥천체육센터(탁구장),옥천체육센터,기타,설 당일+추석 당일,09:00,22:00,09:00,22:00,N,,(개인)무료+(전용 사용 시) 사용료 부과,,,50,287,탁구,방문+전화,,충청북도 옥천군 옥천읍 관성로 53,,충청북도 옥천군,체육사업소,043-730-4863,,36.303073,127.575805,2025-07-30,4430000,충청북도 옥천군
이원전천후게이트볼장,이원전천후게이트볼장,기타,연중무휴,09:00,18:00,09:00,18:00,N,,,,,30,560,,방문+전화,,충청북도 옥천군 이원면 묘목로 179-4,,충청북도 옥천군,체육사업소,043-730-4872,,36.250736,127.615648,2025-07-30,4430000,충청북도 옥천군
중앙공원 소프트테니스장,중앙공원 소프트테니스장,테니스장,연중무휴,09:00,22:00,09:00,22:00,N,,,,,30,4144,,방문+전화,,충청북도 옥천군 옥천읍 서대공원길 33,,충청북도 옥천군,체육사업소,043-730-4873,,36.29607952,127.5728652,2025-07-30,4430000,충청북도 옥천군
청산전천후게이트볼장,청산전천후게이트볼장,기타,연중무휴,09:00,18:00,09:00,18:00,N,,,,,30,563,,방문+전화,,충청북도 옥천군 청산면 지전길 32-19,,충청북도 옥천군,체육사업소,043-730-4871,,36.34595154,127.794042,2025-07-30,4430000,충청북도 옥천군
청산정,청산정,기타,연중무휴,09:00,18:00,09:00,18:00,N,,,,,50,14645,,방문+전화,,충청북도 옥천군 청산면 남부로 2460,,충청북도 옥천군,체육사업소,043-730-4871,,36.336743,127.767185,2025-07-30,4430000,충청북도 옥천군
청성전천후게이트볼장,청성전천후게이트볼장,기타,연중무휴,09:00,18:00,09:00,18:00,N,,,,,30,498,,방문+전화,,충청북도 옥천군 청성면 산계길 17,,충청북도 옥천군,체육사업소,043-730-4871,,36.32449129,127.758891,2025-07-30,4430000,충청북도 옥천군
강동구 성내2동 자치회관 새미실(지하1층),성내2동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,서울특별시 강동구청,성내2동,,,37.53243047,127.1295279,2023-08-18,3240000,서울특별시 강동구
강동구 성내3동 자치회관 제1강의실(2층),성내3동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 풍성로37가길 62,서울특별시 강동구 성내동 508,서울특별시 강동구청,성내3동,,,37.53243047,127.1295279,2023-08-18,3240000,서울특별시 강동구
강동구 성내3동 자치회관 다목적실(지하1층),성내3동주민센터,다목적실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,서울특별시 강동구청,성내3동,,,37.5260027,127.1328729,2023-08-18,3240000,서울특별시 강동구
강동구 성내3동 자치회관 제2강의실(2층),성내3동주민센터,강의실,공휴일,09:00,21:00,09:00,18:00,Y,1,5000,,,,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,서울특별시 강동구청,성내3동,,,37.5260027,127.1328729,2023-08-18,3240000,서울특별시 강동구
강동구 길동 주민센터 회의실(3층),길동주민센터,회의실,공휴일,09:00,21:00,09:00,18:00,N,,,,,,,,,,서울특별시 강동구 강동대로53길 76,서울특별시 강동구 성내동 430-29,서울특별시 강동구청,길동,,,37.52604217,127.1328839,2023-08-18,3240000,서울특별시 강동구
